subject,trial,V_target,V_distractor,p_target
5e6473fbc15dbe1f71eea95b,23,-0.936446804902114,-0.8411231108810353,0.4913509629684593
5e6473fbc15dbe1f71eea95b,24,0.819226656855711,-0.6403390979823467,0.6294313189252394
5e6473fbc15dbe1f71eea95b,25,1.6560854221503973,1.2832930741611268,0.5337765487467975
5e6473fbc15dbe1f71eea95b,26,0.4254389934005987,-0.23945304226601175,0.5600427533328363
5e6473fbc15dbe1f71eea95b,27,1.050971331640154,0.2824005583539233,0.569293147340083
5e6473fbc15dbe1f71eea95b,28,-0.3947863238857533,-1.1301863433079375,0.5663385349602419
5e6473fbc15dbe1f71eea95b,29,-1.159068587067957,-0.30947736401880666,0.42351124843086
5e6473fbc15dbe1f71eea95b,30,-0.9512764481026954,1.0388657958362733,0.3268732740604485
5e6473fbc15dbe1f71eea95b,31,1.4477545985106919,-0.27633990485157045,0.6515351142085493
5e6473fbc15dbe1f71eea95b,32,0.14514527049875642,1.5826885451154564,0.37243506393612724
5e6473fbc15dbe1f71eea95b,33,1.19212569415083,0.2487775914776878,0.5847750075618006
5e6473fbc15dbe1f71eea95b,34,1.309598689533971,-0.3587447675190066,0.6469268326878844
5e6473fbc15dbe1f71eea95b,35,1.6679614712640043,0.6978663139060157,0.5871303701034988
5e6473fbc15dbe1f71eea95b,36,0.5818169894271105,1.4905536108157658,0.4182786458506265
5e6473fbc15dbe1f71eea95b,37,0.2889558831269757,-0.4022425244392036,0.5623940672080402
5e6473fbc15dbe1f71eea95b,38,0.011647111011544531,-0.31493119175613066,0.5295998443627169
5e6473fbc15dbe1f71eea95b,39,1.3760696189483101,1.2579112313697962,0.5107203313545344
5e6473fbc15dbe1f71eea95b,40,0.45712970381983886,-0.18061228970483736,0.557613202985204
5e6473fbc15dbe1f71eea95b,41,-1.8680994595318456,0.03900751208355768,0.3335390094047986
5e6473fbc15dbe1f71eea95b,42,0.7772709963352762,-1.9284563732711957,0.7275240446218375
5e6473fbc15dbe1f71eea95b,43,0.3448490908404892,0.161345193028538,0.5166454289589677
5e6473fbc15dbe1f71eea95b,44,-2.2716416756311175,-0.9439458461223815,0.38180045921115646
5e6473fbc15dbe1f71eea95b,45,-0.34468171971946066,-0.13907022957516701,0.4813509769562168
5e92178e8ee4fe54b65b7c39,0,0.0,0.0,0.5
5e92178e8ee4fe54b65b7c39,1,1.0312461556730537,1.1082343757514828,0.4942241553452416
5e92178e8ee4fe54b65b7c39,2,0.23442396574250102,0.20444556006527353,0.5022491382256522
5e92178e8ee4fe54b65b7c39,3,0.6097948184510585,0.9725280172920429,0.4728124994817228
5e92178e8ee4fe54b65b7c39,4,0.489116699677972,-0.4390317834560254,0.5691883157337749
5e92178e8ee4fe54b65b7c39,5,0.2513659885425857,0.3975099875671992,0.48903718909751626
5e92178e8ee4fe54b65b7c39,6,0.13998260375300037,-0.16297294316237432,0.5227138334779738
5e92178e8ee4fe54b65b7c39,7,0.04596358636652063,-0.27762157752102345,0.5242581705134267
5e92178e8ee4fe54b65b7c39,8,1.2114682067752574,0.20613611804385087,0.5748588530560651
5e92178e8ee4fe54b65b7c39,9,0.23414738573689553,1.2494472132354795,0.42441023681145523
5e92178e8ee4fe54b65b7c39,10,1.31593790738742,0.9449343659441668,0.5278061128345963
5e92178e8ee4fe54b65b7c39,11,0.5429940067978397,0.14860295096678852,0.529555004254549
5e92178e8ee4fe54b65b7c39,12,-0.01585729199379867,0.8963594724219336,0.4319844721645642
5e92178e8ee4fe54b65b7c39,13,0.2570266495203545,0.483667901591486,0.4830026145131018
5e92178e8ee4fe54b65b7c39,14,0.2941589819881742,0.8020468505073236,0.46196891238745486
5e92178e8ee4fe54b65b7c39,15,-0.15196833801358367,0.8597156198576679,0.4246753417341838
5e92178e8ee4fe54b65b7c39,16,-0.17034056171644152,0.8703046756338471,0.4225532148259522
5e92178e8ee4fe54b65b7c39,17,1.418538723590383,1.499336476241694,0.4939383822339149
5e92178e8ee4fe54b65b7c39,18,1.3719110244142192,0.8662299047875516,0.5378664782640117
5e92178e8ee4fe54b65b7c39,19,0.8675421428845556,0.9106986678608039,0.49676219312776815
5e92178e8ee4fe54b65b7c39,20,0.6376658782102909,-0.31357922264202287,0.5708871554620883
5e92178e8ee4fe54b65b7c39,21,-0.19698124365535158,0.48270312034691853,0.44918221908415273
5e92178e8ee4fe54b65b7c39,22,1.0194700053408376,0.8971553955856995,0.5091757192595939
5e92178e8ee4fe54b65b7c39,23,0.4931622250334893,-0.09830971682470425,0.5442594996416998
5e92178e8ee4fe54b65b7c39,24,0.8967144042254465,1.101277457460724,0.4846573147453466
5e92178e8ee4fe54b65b7c39,25,0.9756807932598168,-0.13042964897695053,0.5822330883144837
