participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
667a7ab2a6179deb78e9dd1a,48,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[7.793537994911862], [30.295166482756404]]","[[[34.12931590784179]], [[104.39083588577434]]]","[[0.8357152317749013, 0.16428476822509874], [0.8223125187201087, 0.17768748127989137]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-172.8435635457666
667bd577710d52a05ac09036,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[[20.33123373384681], [55.04864454582983]]","[[[179.7108415682664]], [[1082.0618979606963]]]","[[0.9079115821973998, 0.09208841780260016], [0.11379639713346053, 0.8862036028665394]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-216.86569068000537
669533c82c03a4d6320159d3,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[8.061950969002826], [32.577267733107256]]","[[[30.9112122819386]], [[20.582534581449526]]]","[[0.9565054929549832, 0.04349450704501675], [1.0, 4.1464209907980856e-22]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-157.90914232415648
66b0cd32e02e57ac86e82550,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[12.483298195695395], [48.95464012243237]]","[[[54.49239943869432]], [[567.2196558620852]]]","[[0.9232856978960484, 0.07671430210395168], [0.7132430659366323, 0.2867569340633678]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-178.74659949646454
66b0ce2b37f5b9ab41e82585,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[13.569968150669764], [63.061896121619576]]","[[[122.475883837206]], [[42.95071925243228]]]","[[0.9045944914695184, 0.09540550853048164], [0.8080440069307128, 0.1919559930692872]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-196.29439685224796
66cc85c87017ef38adbaebc6,48,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[4.499818019910448], [21.702871760065555]]","[[[7.821767225892906]], [[120.35509527211836]]]","[[0.7605032286089032, 0.2394967713910968], [0.7586168248402345, 0.24138317515976546]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-151.68096616946366
67911b9be5af0ac0763a28c7,48,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[[3.2308908463692014], [15.510734513435326]]","[[[2.7411179296069244]], [[49.31612288386506]]]","[[0.39643321283145805, 0.603566787168542], [0.37503623064537744, 0.6249637693546225]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-157.325804317152
67cc3f4c640c0ff4df30a225,48,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[[10.130816833495325], [29.50225830545084]]","[[[66.70536156811873]], [[136.01765227524135]]]","[[0.6139301784275477, 0.3860698215724523], [0.08802620595503072, 0.9119737940449694]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-191.2978931615454
67d1d172e049a486152a5ce9,48,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","[[11.499765023034719], [58.650145899166624]]","[[[60.97203310615151]], [[585.7099487255607]]]","[[0.8228922950720099, 0.17710770492799005], [0.4205145161664856, 0.5794854838335143]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-201.0249207190132
67eb5332af03cf75862d5e87,48,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[10.392055110668684], [28.85022883456312]]","[[[34.413359630791454]], [[20.44732811676883]]]","[[0.8392263312945824, 0.16077366870541762], [0.9422667691803195, 0.05773323081968059]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-166.8310124108918
