participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
669533c82c03a4d6320159d3,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[8.06197969814481], [32.57757182029686]]","[[[30.91168762130993]], [[20.580048400335468]]]","[[0.9565073059068586, 0.04349269409314131], [1.0, 2.540198399280778e-24]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-157.90914226679232
66b0cd32e02e57ac86e82550,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[12.481433849833628], [48.91125475385798]]","[[[54.46302356467179]], [[567.5716134543906]]]","[[0.9231304706254869, 0.07686952937451311], [0.7133514574286791, 0.286648542571321]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-178.74665001638283
66b0ce2b37f5b9ab41e82585,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[13.569987907723611], [63.061977800079994]]","[[[122.47649088529518]], [[42.949485254997796]]]","[[0.9045947695559302, 0.09540523044406982], [0.8080462699168446, 0.19195373008315536]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-196.29439680647567
66cc85c87017ef38adbaebc6,48,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[4.500230443361277], [21.7090687924688]]","[[[7.824042168813076]], [[120.31348008737635]]]","[[0.7606449514661929, 0.23935504853380712], [0.7586048324598893, 0.2413951675401107]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-151.68098103042715
67911b9be5af0ac0763a28c7,48,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[[3.2313976553432], [15.513209515915294]]","[[[2.743070870741461]], [[49.299176556528614]]]","[[0.39657429335336003, 0.60342570664664], [0.37517247038638657, 0.6248275296136134]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-157.32582386535137
67cc3f4c640c0ff4df30a225,48,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[[1.972368397454689], [27.9498500017393]]","[[[1.2356538745400052]], [[138.51603877917987]]]","[[0.516520442161229, 0.48347955783877095], [0.060195243380189487, 0.9398047566198104]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-186.86315772268244
67d1d172e049a486152a5ce9,45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","[[13.068920900162702], [62.616991804316676]]","[[[85.62348572839024]], [[108.38257112784841]]]","[[0.9172428916431407, 0.08275710835685926], [0.43287810758407985, 0.5671218924159201]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-179.90038698512194
67eb5332af03cf75862d5e87,48,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[10.392906148967878], [28.851941159321495]]","[[[34.42300021566032]], [[20.44257031906262]]]","[[0.8392712837148382, 0.16072871628516186], [0.9424055379705154, 0.057594462029484594]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-166.83099412984782
67f864f1b7ea815cc3583637,47,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[7.013160948914664], [12.454977714891195]]","[[[21.698675605663077]], [[2.364899604908136]]]","[[0.9647931069259593, 0.03520689307404064], [0.29997915206066417, 0.7000208479393358]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-136.0938907156226
680aac52abce2170943ff846,48,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[[9.832920963632601], [31.34913477064342]]","[[[36.82516123866865]], [[27.817625489462]]]","[[0.7883854654679892, 0.2116145345320108], [0.7744602450474525, 0.22553975495254763]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-174.7057258566778
68598a1d4cebd213b2abb1d9,48,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[[5.581672914259739], [15.918639624113194]]","[[[17.897142478847858]], [[43.388715540274895]]]","[[0.7643074838004679, 0.2356925161995322], [0.9999999999999224, 7.760391684473986e-14]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-151.15754644942416
68e541cbbf146b5c074849ac,48,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[[4.930252233835681], [25.32732761301634]]","[[[14.797994146883758]], [[147.5933307308185]]]","[[0.8889897922949289, 0.11101020770507107], [0.08100215052849541, 0.9189978494715046]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-180.4586805825224
